INFO: 2017-06-21 10:11:11 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\tim_firmware_update.cpp | 269 | TimLog::logInfo | succ to delete older log file: TIM_Firmware_Update.log
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 16 01 2A FB 46 E0 C7 48 84 42 08 D1 01 21 08 20 00 F0 22 FB 00 21 08 20 00 F0 1E FB 3A E0 C2 48 84 42 08 D1 01 21 10 10 20 00 F0 16 FB 00 21 10 10 20 00 F0 12 FB 2E E0 BD 48 84 42 08 D1 01 21 20 20 00 F0 07 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 16 00 01 24 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 17 01 0A FB 00 21 20 20 00 F0 06 FB 22 E0 B8 48 84 42 08 D1 01 21 40 20 00 F0 FE FA 00 21 40 20 00 F0 FA FA 16 E0 B3 48 84 42 08 D1 01 21 80 20 00 F0 F2 FA 00 21 80 20 00 F0 EE FA 0A E0 AE 48 84 42 52 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 17 00 01 25 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 18 01 07 D1 01 21 80 15 00 F0 E6 FA 00 21 A0 15 00 F0 E2 FA 10 10 BD 10 10 B5 01 21 08 46 00 F0 DC FA 00 21 01 20 00 F0 D8 FA 10 10 BD 2D E9 F0 41 10 02 46 00 25 00 26 00 20 00 23 00 24 00 27 91 F8 10 03 C0 0C F0 35 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 18 00 01 2A 03 
INFO: 2017-06-21 10:11:29 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 19 01 0F 05 91 F8 10 03 C0 0C F0 10 10 0C BC F1 00 0F 10 03 D0 91 F8 10 02 C0 4C EA 05 05 91 F8 00 C0 BC F1 00 0F 31 D0 14 68 00 20 2B E0 4F F0 01 0C 0C FA 00 F3 B1 F8 00 C0 0C EA 10 03 06 9E 42 20 D1 83 00 4F F0 E1 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 19 00 01 2B 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 1A 01 0F 0C 0C FA 10 03 F7 BC 43 05 FA 10 03 FC 4C EA 04 04 91 F8 10 03 C0 BC F1 28 0F 06 D1 4F F0 01 0C 0C FA 00 FC C2 F8 14 C0 0A E0 91 F8 10 03 C0 BC F1 48 0F 05 D1 4F F0 01 0C 0C FA 00 FC C2 F8 10 10 C0 40 1C E6 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 1A 00 01 28 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 1B 01 08 28 D1 D3 14 60 B1 F8 00 C0 BC F1 FF 0F 34 DD 54 68 00 20 2E E0 00 F1 08 0C 4F F0 01 08 08 FA 0C F3 B1 F8 00 C0 0C EA 10 03 06 9E 42 21 D1 83 00 4F F0 0F 0C 0C FA 10 03 F7 BC 43 05 FA 10 03 FC 4C EA 5B 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 1B 00 01 29 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 1C 01 04 04 91 F8 10 03 C0 BC F1 28 0F 05 D1 00 F1 08 0C 08 FA 0C F8 C2 F8 14 80 91 F8 10 03 C0 BC F1 48 0F 07 D1 00 F1 08 0C 4F F0 01 08 08 FA 0C F8 C2 F8 10 10 80 40 1C 08 28 CE D3 54 60 BD E8 F0 81 4F F6 71 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 362 | TimLog::logInfo | ½ÓÊÕµÄÓ¦´ğÊı¾İ:02 04 37 1C 00 01 2E 03 
INFO: 2017-06-21 10:11:30 | f:\Èí¼şÉı¼¶\update\tim_firmware_update\tim_firmware_update\sjscop.cpp | 98 | TimLog::logInfo | ·¢ËÍµÄÃüÁî:02 43 37 1D 01 FF 71 01 80 10 02 21 81 70 04 21 C1 70 70 47 10 02 46 00 20 93 68 0B 40 0B B1 01 20 00 E0 00 20 70 47 01 46 88 68 80 B2 70 47 10 02 46 00 20 D3 68 0B 40 0B B1 01 20 00 E0 00 20 70 47 01 46 C8 68 80 B2 21 03 
